Colony,Distance,Mass,Headwidth,Headwidth (mm),Worker class
101,10,63.000,38.000,1.600,37-38
101,10,59.000,40.000,1.684,39-40
101,10,68.000,41.000,1.726,>40
101,10,51.000,38.000,1.600,37-38
101,10,65.000,43.000,1.811,>40
101,10,59.000,43.000,1.811,>40
101,10,77.000,42.000,1.768,>40
101,10,56.000,40.000,1.684,39-40
101,10,75.000,40.000,1.684,39-40
101,10,48.000,37.000,1.558,37-38
101,10,76.000,40.000,1.684,39-40
101,10,51.000,37.000,1.558,37-38
101,10,63.000,42.000,1.768,>40
101,10,55.000,38.000,1.600,37-38
101,10,73.000,41.000,1.726,>40
101,10,55.000,41.000,1.726,>40
101,10,54.000,37.000,1.558,37-38
X,0,68.000,40.000,1.684,39-40
X,0,61.000,39.000,1.642,39-40
X,0,86.000,43.000,1.811,>40
X,0,74.000,40.000,1.684,39-40
X,0,80.000,41.000,1.726,>40
X,0,64.000,39.000,1.642,39-40
X,0,69.000,40.000,1.684,39-40
X,0,63.000,40.000,1.684,39-40
X,0,83.000,39.000,1.642,39-40
X,0,70.000,38.000,1.600,37-38
X,0,65.000,39.000,1.642,39-40
X,0,69.000,38.000,1.600,37-38
X,0,79.000,40.000,1.684,39-40
X,0,59.000,37.000,1.558,37-38
X,0,92.000,42.000,1.768,>40
X,0,80.000,40.000,1.684,39-40
X,0,50.000,36.000,1.516,<37
X,0,83.000,41.000,1.726,>40
X,0,65.000,39.000,1.642,39-40
X,0,62.000,39.000,1.642,39-40
X,0,81.000,40.000,1.684,39-40
X,0,64.000,38.000,1.600,37-38
X,0,111.000,45.000,1.895,>40
X,0,58.000,40.000,1.684,39-40
X,0,87.000,42.000,1.768,>40
X,0,65.000,36.000,1.516,<37
X,0,57.000,40.000,1.684,39-40
X,5,68.000,43.000,1.811,>40
X,5,70.000,44.000,1.853,>40
X,5,54.000,39.000,1.642,39-40
X,5,46.000,38.000,1.600,37-38
X,5,52.000,39.000,1.642,39-40
X,5,52.000,38.000,1.600,37-38
X,5,57.000,41.000,1.726,>40
X,5,56.000,39.000,1.642,39-40
X,5,61.000,39.000,1.642,39-40
X,5,52.000,39.000,1.642,39-40
X,5,58.000,40.000,1.684,39-40
X,5,65.000,43.000,1.811,>40
X,5,58.000,41.000,1.726,>40
X,5,54.000,38.000,1.600,37-38
X,5,67.000,41.000,1.726,>40
X,5,52.000,41.000,1.726,>40
X,5,47.000,39.000,1.642,39-40
X,5,48.000,38.000,1.600,37-38
X,5,76.000,43.000,1.811,>40
X,5,49.000,37.000,1.558,37-38
X,5,60.000,42.000,1.768,>40
X,5,54.000,39.000,1.642,39-40
X,5,46.000,35.000,1.474,<37
X,5,65.000,41.000,1.726,>40
X,5,54.000,39.000,1.642,39-40
X,5,63.000,40.000,1.684,39-40
X,5,59.000,40.000,1.684,39-40
X,10,50.000,39.000,1.642,39-40
X,10,54.000,41.000,1.726,>40
X,10,56.000,40.000,1.684,39-40
X,10,51.000,38.000,1.600,37-38
X,10,47.000,40.000,1.684,39-40
X,10,50.000,36.000,1.516,<37
X,10,51.000,39.000,1.642,39-40
X,10,56.000,40.000,1.684,39-40
X,10,52.000,40.000,1.684,39-40
X,10,52.000,37.000,1.558,37-38
X,10,47.000,38.000,1.600,37-38
X,10,57.000,38.000,1.600,37-38
X,10,48.000,38.000,1.600,37-38
X,10,73.000,43.000,1.811,>40
X,10,42.000,37.000,1.558,37-38
X,10,45.000,40.000,1.684,39-40
X,10,59.000,39.000,1.642,39-40
X,10,50.000,37.000,1.558,37-38
X,10,55.000,39.000,1.642,39-40
X,10,50.000,37.000,1.558,37-38
X,10,58.000,40.000,1.684,39-40
X,10,56.000,40.000,1.684,39-40
X,10,43.000,37.000,1.558,37-38
X,10,65.000,41.000,1.726,>40
X,10,55.000,41.000,1.726,>40
X,10,59.000,39.000,1.642,39-40
X,10,69.000,44.000,1.853,>40
X,10,47.000,37.000,1.558,37-38
X,10,51.000,38.000,1.600,37-38
X,10,51.000,38.000,1.600,37-38
X,10,57.000,41.000,1.726,>40
25,0,55.000,38.000,1.600,37-38
25,0,67.000,39.000,1.642,39-40
25,0,59.000,36.000,1.516,<37
25,0,75.000,39.000,1.642,39-40
25,0,111.000,44.000,1.853,>40
25,0,73.000,38.000,1.600,37-38
25,0,57.000,37.000,1.558,37-38
25,0,66.000,39.000,1.642,39-40
25,0,72.000,38.000,1.600,37-38
25,0,67.000,38.000,1.600,37-38
25,0,61.000,36.000,1.516,<37
25,0,86.000,40.000,1.684,39-40
25,0,60.000,36.000,1.516,<37
25,0,81.000,41.000,1.726,>40
25,0,55.000,37.000,1.558,37-38
25,0,71.000,38.000,1.600,37-38
25,0,67.000,39.000,1.642,39-40
25,0,90.000,41.000,1.726,>40
25,0,97.000,44.000,1.853,>40
25,0,72.000,39.000,1.642,39-40
25,0,83.000,40.000,1.684,39-40
25,0,94.000,42.000,1.768,>40
25,0,65.000,37.000,1.558,37-38
25,0,78.000,41.000,1.726,>40
25,0,96.000,41.000,1.726,>40
25,0,102.000,43.000,1.811,>40
25,0,57.000,37.000,1.558,37-38
25,0,72.000,39.000,1.642,39-40
25,0,72.000,38.000,1.600,37-38
25,5,46.000,37.000,1.558,37-38
25,5,44.000,35.000,1.474,<37
25,5,40.000,35.000,1.474,<37
25,5,58.000,40.000,1.684,39-40
25,5,64.000,40.000,1.684,39-40
25,5,45.000,36.000,1.516,<37
25,5,44.000,37.000,1.558,37-38
25,5,67.000,42.000,1.768,>40
25,5,72.000,41.000,1.726,>40
25,5,68.000,40.000,1.684,39-40
25,5,70.000,42.000,1.768,>40
25,5,45.000,36.000,1.516,<37
25,5,46.000,38.000,1.600,37-38
25,5,70.000,42.000,1.768,>40
25,5,56.000,37.000,1.558,37-38
25,5,61.000,40.000,1.684,39-40
25,5,44.000,36.000,1.516,<37
25,5,55.000,37.000,1.558,37-38
25,5,51.000,37.000,1.558,37-38
25,5,64.000,40.000,1.684,39-40
25,5,68.000,41.000,1.726,>40
25,5,67.000,40.000,1.684,39-40
25,5,45.000,37.000,1.558,37-38
25,5,44.000,35.000,1.474,<37
25,5,46.000,37.000,1.558,37-38
25,10,44.000,37.000,1.558,37-38
25,10,65.000,42.000,1.768,>40
25,10,36.000,36.000,1.516,<37
25,10,47.000,39.000,1.642,39-40
25,10,56.000,42.000,1.768,>40
25,10,39.000,37.000,1.558,37-38
25,10,31.000,33.000,1.389,<37
25,10,38.000,36.000,1.516,<37
25,10,51.000,39.000,1.642,39-40
25,10,47.000,39.000,1.642,39-40
25,10,39.000,36.000,1.516,<37
25,10,56.000,40.000,1.684,39-40
25,10,38.000,38.000,1.600,37-38
25,10,61.000,41.000,1.726,>40
25,10,52.000,38.000,1.600,37-38
25,10,52.000,41.000,1.726,>40
25,10,42.000,38.000,1.600,37-38
25,10,49.000,39.000,1.642,39-40
25,10,59.000,41.000,1.726,>40
25,10,55.000,41.000,1.726,>40
25,10,58.000,39.000,1.642,39-40
25,10,42.000,37.000,1.558,37-38
2,0,39.000,38.000,1.600,37-38
2,0,40.000,37.000,1.558,37-38
2,0,42.000,36.000,1.516,<37
2,0,39.000,37.000,1.558,37-38
2,0,44.000,37.000,1.558,37-38
2,0,40.000,36.000,1.516,<37
2,0,40.000,39.000,1.642,39-40
2,0,48.000,41.000,1.726,>40
2,0,38.000,37.000,1.558,37-38
2,0,47.000,40.000,1.684,39-40
2,0,40.000,36.000,1.516,<37
2,0,50.000,37.000,1.558,37-38
2,0,36.000,35.000,1.474,<37
2,0,35.000,35.000,1.474,<37
2,0,34.000,36.000,1.516,<37
2,0,44.000,38.000,1.600,37-38
2,0,48.000,39.000,1.642,39-40
2,0,47.000,39.000,1.642,39-40
2,0,48.000,37.000,1.558,37-38
2,0,42.000,38.000,1.600,37-38
2,0,23.000,38.000,1.600,37-38
2,0,43.000,37.000,1.558,37-38
2,0,44.000,38.000,1.600,37-38
2,0,34.000,39.000,1.642,39-40
2,5,55.000,39.000,1.642,39-40
2,5,35.000,36.000,1.516,<37
2,5,53.000,39.000,1.642,39-40
2,5,38.000,39.000,1.642,39-40
2,5,39.000,36.000,1.516,<37
2,5,44.000,39.000,1.642,39-40
2,5,34.000,35.000,1.474,<37
2,5,37.000,36.000,1.516,<37
2,5,43.000,38.000,1.600,37-38
2,5,30.000,37.000,1.558,37-38
2,5,54.000,39.000,1.642,39-40
2,5,33.000,37.000,1.558,37-38
2,5,29.000,38.000,1.600,37-38
2,5,50.000,39.000,1.642,39-40
2,5,42.000,38.000,1.600,37-38
2,5,42.000,38.000,1.600,37-38
2,5,34.000,36.000,1.516,<37
2,5,44.000,38.000,1.600,37-38
2,5,42.000,38.000,1.600,37-38
2,5,53.000,41.000,1.726,>40
2,5,36.000,36.000,1.516,<37
2,5,38.000,36.000,1.516,<37
2,5,37.000,35.000,1.474,<37
2,5,35.000,36.000,1.516,<37
2,5,38.000,39.000,1.642,39-40
2,5,33.000,35.000,1.474,<37
2,5,45.000,37.000,1.558,37-38
2,5,39.000,37.000,1.558,37-38
2,5,41.000,38.000,1.600,37-38
2,10,29.000,35.000,1.474,<37
2,10,47.000,40.000,1.684,39-40
2,10,48.000,37.000,1.558,37-38
2,10,42.000,38.000,1.600,37-38
2,10,45.000,39.000,1.642,39-40
2,10,35.000,35.000,1.474,<37
2,10,53.000,39.000,1.642,39-40
2,10,49.000,39.000,1.642,39-40
2,10,44.000,37.000,1.558,37-38
2,10,34.000,36.000,1.516,<37
2,10,53.000,39.000,1.642,39-40
2,10,47.000,39.000,1.642,39-40
2,10,39.000,37.000,1.558,37-38
2,10,64.000,42.000,1.768,>40
2,10,37.000,36.000,1.516,<37
2,10,56.000,40.000,1.684,39-40
2,10,41.000,35.000,1.474,<37
2,10,38.000,35.000,1.474,<37
3,0,45.000,37.000,1.558,37-38
3,0,31.000,37.000,1.558,37-38
3,0,35.000,35.000,1.474,<37
3,0,34.000,40.000,1.684,39-40
3,0,63.000,43.000,1.811,>40
3,0,52.000,38.000,1.600,37-38
3,0,58.000,41.000,1.726,>40
3,0,45.000,40.000,1.684,39-40
3,0,38.000,37.000,1.558,37-38
3,0,45.000,38.000,1.600,37-38
3,0,42.000,38.000,1.600,37-38
3,0,31.000,35.000,1.474,<37
3,0,35.000,35.000,1.474,<37
3,0,33.000,35.000,1.474,<37
3,0,42.000,40.000,1.684,39-40
3,0,35.000,33.000,1.389,<37
3,0,35.000,36.000,1.516,<37
3,0,53.000,40.000,1.684,39-40
3,0,43.000,37.000,1.558,37-38
3,0,41.000,38.000,1.600,37-38
3,0,49.000,39.000,1.642,39-40
3,0,41.000,38.000,1.600,37-38
3,0,36.000,35.000,1.474,<37
3,0,40.000,37.000,1.558,37-38
3,0,44.000,37.000,1.558,37-38
3,0,34.000,35.000,1.474,<37
3,0,36.000,35.000,1.474,<37
3,5,66.000,44.000,1.853,>40
3,5,45.000,36.000,1.516,<37
3,5,45.000,38.000,1.600,37-38
3,5,36.000,35.000,1.474,<37
3,5,45.000,37.000,1.558,37-38
3,5,45.000,38.000,1.600,37-38
3,5,50.000,38.000,1.600,37-38
3,5,49.000,38.000,1.600,37-38
3,5,61.000,40.000,1.684,39-40
3,5,42.000,35.000,1.474,<37
3,5,43.000,38.000,1.600,37-38
3,5,34.000,34.000,1.432,<37
3,5,40.000,35.000,1.474,<37
3,5,46.000,36.000,1.516,<37
3,5,51.000,40.000,1.684,39-40
3,5,47.000,36.000,1.516,<37
3,5,67.000,42.000,1.768,>40
3,5,48.000,39.000,1.642,39-40
3,5,49.000,37.000,1.558,37-38
3,5,53.000,38.000,1.600,37-38
3,5,50.000,34.000,1.432,<37
3,5,52.000,40.000,1.684,39-40
3,5,45.000,35.000,1.474,<37
3,5,44.000,37.000,1.558,37-38
3,5,43.000,37.000,1.558,37-38
3,5,41.000,34.000,1.432,<37
3,5,48.000,38.000,1.600,37-38
3,5,52.000,39.000,1.642,39-40
3,10,49.000,38.000,1.600,37-38
3,10,53.000,39.000,1.642,39-40
3,10,47.000,38.000,1.600,37-38
3,10,48.000,39.000,1.642,39-40
3,10,49.000,37.000,1.558,37-38
3,10,44.000,37.000,1.558,37-38
3,10,43.000,36.000,1.516,<37
3,10,58.000,42.000,1.768,>40
3,10,48.000,37.000,1.558,37-38
3,10,43.000,36.000,1.516,<37
3,10,41.000,35.000,1.474,<37
3,10,48.000,39.000,1.642,39-40
3,10,50.000,38.000,1.600,37-38
3,10,47.000,37.000,1.558,37-38
3,10,40.000,35.000,1.474,<37
3,10,38.000,35.000,1.474,<37
3,10,46.000,37.000,1.558,37-38
3,10,43.000,35.000,1.474,<37
3,10,40.000,35.000,1.474,<37
3,10,51.000,38.000,1.600,37-38
3,10,45.000,37.000,1.558,37-38
3,10,54.000,39.000,1.642,39-40
4,0,58.000,39.000,1.642,39-40
4,0,65.000,43.000,1.811,>40
4,0,75.000,45.000,1.895,>40
4,0,64.000,42.000,1.768,>40
4,0,54.000,40.000,1.684,39-40
4,0,60.000,42.000,1.768,>40
4,0,64.000,42.000,1.768,>40
4,0,45.000,38.000,1.600,37-38
4,0,65.000,43.000,1.811,>40
4,0,23.000,37.000,1.558,37-38
4,0,39.000,36.000,1.516,<37
4,0,52.000,41.000,1.726,>40
4,0,60.000,42.000,1.768,>40
4,0,81.000,46.000,1.937,>40
4,0,43.000,38.000,1.600,37-38
4,0,63.000,42.000,1.768,>40
4,0,49.000,37.000,1.558,37-38
4,0,44.000,37.000,1.558,37-38
4,0,44.000,38.000,1.600,37-38
4,0,49.000,40.000,1.684,39-40
4,0,46.000,38.000,1.600,37-38
4,0,48.000,38.000,1.600,37-38
4,0,67.000,42.000,1.768,>40
4,0,49.000,37.000,1.558,37-38
4,0,35.000,37.000,1.558,37-38
4,0,55.000,39.000,1.642,39-40
4,0,41.000,37.000,1.558,37-38
4,5,63.000,40.000,1.684,39-40
4,5,59.000,40.000,1.684,39-40
4,5,40.000,36.000,1.516,<37
4,5,50.000,38.000,1.600,37-38
4,5,60.000,41.000,1.726,>40
4,5,61.000,41.000,1.726,>40
4,5,48.000,38.000,1.600,37-38
4,5,52.000,39.000,1.642,39-40
4,5,55.000,40.000,1.684,39-40
4,5,54.000,40.000,1.684,39-40
4,5,47.000,37.000,1.558,37-38
4,5,41.000,36.000,1.516,<37
4,5,64.000,43.000,1.811,>40
4,5,57.000,40.000,1.684,39-40
4,5,68.000,43.000,1.811,>40
4,5,55.000,41.000,1.726,>40
4,5,56.000,41.000,1.726,>40
4,5,55.000,40.000,1.684,39-40
4,5,49.000,38.000,1.600,37-38
4,5,51.000,39.000,1.642,39-40
4,5,57.000,42.000,1.768,>40
4,5,63.000,42.000,1.768,>40
4,5,53.000,38.000,1.600,37-38
4,5,53.000,39.000,1.642,39-40
4,5,50.000,41.000,1.726,>40
4,5,50.000,38.000,1.600,37-38
4,5,49.000,38.000,1.600,37-38
4,5,57.000,40.000,1.684,39-40
4,10,62.000,40.000,1.684,39-40
4,10,50.000,39.000,1.642,39-40
4,10,52.000,39.000,1.642,39-40
4,10,46.000,38.000,1.600,37-38
4,10,62.000,41.000,1.726,>40
4,10,71.000,44.000,1.853,>40
4,10,56.000,38.000,1.600,37-38
4,10,51.000,39.000,1.642,39-40
4,10,66.000,42.000,1.768,>40
4,10,52.000,38.000,1.600,37-38
4,10,51.000,40.000,1.684,39-40
4,10,40.000,36.000,1.516,<37
4,10,54.000,40.000,1.684,39-40
4,10,56.000,40.000,1.684,39-40
4,10,58.000,41.000,1.726,>40
4,10,60.000,40.000,1.684,39-40
4,10,71.000,44.000,1.853,>40
4,10,44.000,36.000,1.516,<37
4,10,59.000,41.000,1.726,>40
4,10,45.000,38.000,1.600,37-38
